id	block	bid
6c3e6663-04bd-48b8-9e0a-e9251689e68d	7	250
15bba6c1-2e27-48ee-a869-e5530259787b	3	150
15bba6c1-2e27-48ee-a869-e5530259787b	7	0
ac0c96a1-e48a-49df-aa1e-326143ce4a5f	3	300
ac0c96a1-e48a-49df-aa1e-326143ce4a5f	7	299
f35459e1-5bcb-4824-9889-41ba0913bae7	3	130
f35459e1-5bcb-4824-9889-41ba0913bae7	7	300
0f6f6cd1-43c8-4ccb-8821-b8820999bb86	3	150
0f6f6cd1-43c8-4ccb-8821-b8820999bb86	7	280
2443f41d-5ce2-4b7e-8260-d618ab37dc65	3	30
2443f41d-5ce2-4b7e-8260-d618ab37dc65	7	150
19e25ebc-6ed3-4421-bdd7-ddd98b598459	3	95
19e25ebc-6ed3-4421-bdd7-ddd98b598459	7	84
2e506234-ecb0-4512-9bb2-133af73fd0b5	3	100
2e506234-ecb0-4512-9bb2-133af73fd0b5	7	175
a97a3831-83cc-4bbc-87e8-7a63b06fcc79	3	60
a97a3831-83cc-4bbc-87e8-7a63b06fcc79	7	240
60746344-a02b-4db2-a1a4-71354bbdf2e9	3	50
60746344-a02b-4db2-a1a4-71354bbdf2e9	7	50
94ce4077-0761-4e77-a775-2645775acbfb	3	5
94ce4077-0761-4e77-a775-2645775acbfb	7	100
3fb1afc1-7d1f-4817-ba90-7457c3b40a44	3	200
3fb1afc1-7d1f-4817-ba90-7457c3b40a44	7	300
58506d34-c738-4473-b885-8a84b1acc125	3	10
58506d34-c738-4473-b885-8a84b1acc125	7	201
70e6d3a6-035f-4077-b0fe-81ae3a249b14	3	150
70e6d3a6-035f-4077-b0fe-81ae3a249b14	7	120
db7d3753-72f6-45d6-a6ec-beaf73967b04	3	50
db7d3753-72f6-45d6-a6ec-beaf73967b04	7	70
323a479c-ccad-4abd-87e3-fb448f113c4d	3	300
323a479c-ccad-4abd-87e3-fb448f113c4d	7	300
873c0ef1-6a60-4b2c-8906-a19b27fa714e	3	70
873c0ef1-6a60-4b2c-8906-a19b27fa714e	7	300
4751456b-4725-4ee8-9d92-9e0f538d3e35	3	300
4751456b-4725-4ee8-9d92-9e0f538d3e35	7	250
2c1aac25-f8dc-41f7-ac62-2e7b9d51c141	3	170
2c1aac25-f8dc-41f7-ac62-2e7b9d51c141	7	250
bc322b98-a056-4e24-ab95-3a3580fcbb93	3	25
